fecha;pais;ingresos;costos;porcentaje_mujeres;exportaciones;importaciones;endeudamiento;morosidad;reservas;spread;tasa_interes
01-05-2012;chile;12,7472;2,0084;0,40091;2,25967;1,315;0,47351;0,0775;2,0728;0,0921;0,1405
01-06-2012;chile;12,9094;2,0065;0,40105;2,25921;1,3154;0,47655;0,0776;2,0586;0,0899;0,139
01-07-2012;chile;13,05194;2,0432;0,40376;2,25757;1,3199;0,48053;0,0778;2,0601;0,0912;0,1406
01-08-2012;chile;12,89674;2,0119;0,40014;2,26247;1,3102;0,4834;0,0776;2,0854;0,0942;0,1426
01-09-2012;chile;12,98474;1,996;0,3979;2,2645;1,3052;0,48266;0,0779;2,0696;0,0921;0,141
01-10-2012;chile;12,99237;1,978;0,39545;2,26739;1,2999;0,47737;0,0749;2,0316;0,0905;0,1399
01-11-2012;chile;12,96146;1,9796;0,39452;2,26651;1,2991;0,47412;0,0749;2,0224;0,0898;0,1398
01-12-2012;chile;13,10644;1,971;0,39251;2,27501;1,2895;0,4779;0,075;1,998;0,089;0,1376
01-01-2013;chile;13,10375;1,9654;0,39415;2,26598;1,2968;0,52019;0,0727;2,0324;0,0906;0,1361
01-02-2013;chile;13,29944;1,9537;0,39213;2,26732;1,2936;0,51067;0,0739;2,0396;0,0836;0,1344
01-03-2013;chile;13,42286;1,9615;0,39308;2,26954;1,2927;0,50595;0,07;2,0561;0,0818;0,1325
01-04-2013;chile;13,10987;1,9621;0,39278;2,27201;1,2897;0,50317;0,0676;2,1196;0,0827;0,133
01-05-2013;chile;12,96013;1,9486;0,39087;2,27655;1,284;0,5122;0,0695;2,1217;0,0801;0,1306
01-06-2013;chile;12,90191;1,9712;0,39174;2,27894;1,2833;0,51589;0,0701;2,0341;0,0763;0,1266
01-07-2013;chile;12,82039;1,9678;0,39103;2,27979;1,2822;0,53228;0,0715;2,0704;0,075;0,1259
01-08-2013;chile;12,64583;1,9678;0,39418;2,27878;1,2874;0,50514;0,0706;2,1019;0,0762;0,1266
01-09-2013;chile;12,90717;1,9823;0,39779;2,27813;1,2933;0,50412;0,071;2,1388;0,0766;0,1272
01-10-2013;chile;12,98745;1,9848;0,39469;2,2824;1,2844;0,5012;0,0713;2,1686;0,0754;0,1248
01-11-2013;chile;12,74864;1,9717;0,39483;2,28221;1,2851;0,50292;0,0713;2,1692;0,075;0,1218
01-12-2013;chile;13,07818;1,9863;0,39722;2,28365;1,2876;0,5026;0,0715;2,1721;0,0744;0,1197
01-01-2014;chile;12,84775;1,9863;0,39623;2,28777;1,2827;0,49683;0,0722;2,1951;0,0729;0,118
01-02-2014;chile;12,9235;1,9875;0,39586;2,2879;1,2818;0,50355;0,0666;2,1915;0,0762;0,1204
01-03-2014;chile;12,95784;1,9946;0,39449;2,29312;1,2755;0,49954;0,0672;2,2327;0,076;0,1173
01-04-2014;chile;12,92363;1,9924;0,39286;2,29655;1,2687;0,49703;0,0646;2,256;0,0705;0,1106
01-05-2014;chile;13,08913;1,9963;0,3924;2,29696;1,2675;0,49407;0,0652;2,2743;0,0662;0,1062
01-06-2014;chile;13,235;1,9905;0,39059;2,30022;1,2631;0,49791;0,0659;2,2838;0,0693;0,1094
01-07-2014;chile;13,09432;2,0093;0,39241;2,29828;1,2677;0,50596;0,0665;2,2619;0,0692;0,108
01-08-2014;chile;12,99774;1,9862;0,39088;2,30089;1,2637;0,50928;0,0664;2,3357;0,069;0,1055
01-09-2014;chile;12,97127;1,9811;0,38877;2,30289;1,26;0,51195;0,0673;2,3284;0,0688;0,1024
01-10-2014;chile;13,13758;1,9854;0,38887;2,30072;1,2627;0,50951;0,0683;2,3496;0,0688;0,1004
01-11-2014;chile;12,95175;1,9919;0,38971;2,30107;1,2634;0,50605;0,0676;2,3521;0,071;0,1012
01-12-2014;chile;13,15815;1,9695;0,38554;2,30789;1,2511;0,50781;0,0678;2,3591;0,0724;0,1026
01-01-2015;chile;12,93952;1,9721;0,3849;2,30825;1,2502;0,71318;0,0675;2,3931;0,0698;0,1
01-02-2015;chile;13,08667;1,9915;0,38643;2,30615;1,2536;0,65546;0,0641;2,3971;0,0731;0,1033
01-03-2015;chile;12,98994;2,0089;0,38795;2,30273;1,2588;0,60688;0,0606;2,3047;0,0756;0,1058
01-04-2015;chile;13,05463;2,025;0,38915;2,29819;1,2654;0,5779;0,0594;2,3042;0,0736;0,1038
01-05-2015;chile;13,06032;2,0223;0,39051;2,28994;1,2694;0,56395;0,0608;2,2921;0,0741;0,1042
01-06-2015;chile;12,84645;2,0154;0,39112;2,28937;1,2703;0,56049;0;2,3201;0,0775;0,1077
01-07-2015;chile;12,51614;2,0203;0,39535;2,27697;1,2838;0,5572;0;2,3183;0,0772;0,1073
01-08-2015;chile;12,42682;2,0315;0,39743;2,26838;1,2903;0,55297;0;2,3338;0,0784;0,1085
01-09-2015;chile;12,38284;2,0177;0,39456;2,27126;1,2843;0,54499;0;2,3492;0,0768;0,107
01-10-2015;chile;12,39388;2;0,39289;2,27208;1,2812;0,53845;0;2,3548;0,0737;0,1052
01-11-2015;chile;12,43585;1,9749;0,38915;2,27541;1,2734;0,53657;0;2,3575;0,0754;0,1081
01-12-2015;chile;12,42609;1,9646;0,38769;2,27591;1,2699;0,53953;0;2,4001;0,0785;0,1121
01-01-2016;chile;12,2375;1,9743;0,38727;2,27578;1,2704;0,57729;0;2,4048;0,0764;0,1117
01-02-2016;chile;12,36583;1,9738;0,38722;2,27442;1,2721;0,54669;0;2,4271;0,0795;0,1147
01-03-2016;chile;12,77951;1,9794;0,38726;2,27259;1,2751;0,53528;0;2,4426;0,0782;0,1135
01-04-2016;chile;11,34239;1,9822;0,38861;2,18819;1,3484;0,5317;0;2,4788;0,0769;0,1122
01-05-2016;chile;11,48391;1,9944;0,38839;2,19031;1,3461;0,52875;0;2,476;0,077;0,1123
01-06-2016;chile;11,5585;1,9902;0,38748;2,18841;1,3467;0,52667;0;2,468;0,0779;0,1133
01-07-2016;chile;11,78409;1,9873;0,38712;2,18991;1,3453;0,52668;0;2,4668;0,0755;0,111
01-08-2016;chile;11,69781;1,9882;0,38682;2,19124;1,3429;0,5263;0;2,4888;0,0756;0,111
01-09-2016;chile;11,87433;1,998;0,38796;2,19;1,3455;0,53019;0;2,4415;0,0752;0,1105
01-10-2016;chile;11,9181;2,0002;0,38699;2,18992;1,3446;0,53226;0;2,4271;0,0728;0,1082
01-11-2016;chile;11,82082;1,9932;0,38703;2,19366;1,3403;0,53488;0;2,4335;0,074;0,1092
01-12-2016;chile;11,92494;1,9891;0,38667;2,19417;1,3395;0,53619;0;2,4537;0,0739;0,109
01-01-2017;chile;11,81102;1,9807;0,38538;2,19386;1,3355;0,60476;0;2,4401;0,0755;0,1098
01-02-2017;chile;11,859;1,9798;0,38486;2,19541;1,3337;0,56679;0;2,4519;0,0762;0,1086
01-03-2017;chile;11,82419;1,9818;0,38444;2,19785;1,3303;0,55367;0;2,4473;0,0747;0,1064
01-04-2017;chile;11,77762;1,9672;0,38168;2,19935;1,3262;0,53533;0;2,4465;0,0764;0,1055
01-05-2017;chile;11,75777;1,9582;0,38225;2,18155;1,3358;0,53787;0;2,4984;0,0784;0,1053
01-06-2017;chile;11,84424;1,9519;0,38149;2,18155;1,3357;0,54648;0;2,4793;0,0765;0,102
01-07-2017;chile;11,91034;1,958;0,38094;2,18266;1,3349;0,56105;0;2,4943;0,0744;0,0998
01-08-2017;chile;11,90611;1,9539;0,3799;2,18375;1,3333;0,56364;0;2,4762;0,0749;0,1004
01-09-2017;chile;11,98938;1,97;0,37968;2,18442;1,3322;0,56797;0;2,4612;0,0744;0,0999
